sample_id,file,placeholder
BC01,reads/BC01.fastq,
BC02,reads/BC02.fastq,
BC03,reads/BC03.fastq,
BC04,reads/BC04.fastq,
BC05,reads/BC05.fastq,
BC06,reads/BC06.fastq,
BC07,reads/BC07.fastq,
BC08,reads/BC08.fastq,
BC09,reads/BC09.fastq,
BC10a,reads/BC10a.fastq,
BC10,reads/BC10.fastq,
BC11,reads/BC11.fastq,
BC12,reads/BC12.fastq,
BC13,reads/BC13.fastq,
BC14,reads/BC14.fastq,
BC15,reads/BC15.fastq,
BC16,reads/BC16.fastq,
BC17,reads/BC17.fastq,
BC18,reads/BC18.fastq,
BC19,reads/BC19.fastq,
BC20,reads/BC20.fastq,
BC21,reads/BC21.fastq,
BC22,reads/BC22.fastq,
BC23,reads/BC23.fastq,
BC24,reads/BC24.fastq,
